2022-2022-06 11:21 [WARN][restartedMain][o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration:219] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-2022-06 11:21 [WARN][restartedMain][o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration:103] Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2022-2022-06 11:21 [WARN][restartedMain][o.s.b.d.a.OptionalLiveReloadServer:61] Unable to start LiveReload server
2022-2022-06 11:25 [WARN][http-nio-8080-exec-3][o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver:208] Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public org.springframework.http.ResponseEntity<com.example.addressbookspring.dto.ResponseDTO> com.example.addressbookspring.controller.AddressBookController.editAddress(com.example.addressbookspring.dto.AddressBookDTO,int): [Field error in object 'addressBookDTO' on field 'fullName': rejected value [senthil kumar]; codes [Pattern.addressBookDTO.fullName,Pattern.fullName,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [addressBookDTO.fullName,fullName]; arguments []; default message [fullName],[Ljavax.validation.constraints.Pattern$Flag;@7e591a7a,^[A-Z][a-zA-Z\s]{2,}$]; default message [Contact name Invalid: It should have at least 3 characters starting with Capital letter.]] ]
2022-2022-06 11:25 [WARN][http-nio-8080-exec-4][o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver:208] Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public org.springframework.http.ResponseEntity<com.example.addressbookspring.dto.ResponseDTO> com.example.addressbookspring.controller.AddressBookController.editAddress(com.example.addressbookspring.dto.AddressBookDTO,int): [Field error in object 'addressBookDTO' on field 'fullName': rejected value [senthil kumar]; codes [Pattern.addressBookDTO.fullName,Pattern.fullName,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [addressBookDTO.fullName,fullName]; arguments []; default message [fullName],[Ljavax.validation.constraints.Pattern$Flag;@7e591a7a,^[A-Z][a-zA-Z\s]{2,}$]; default message [Contact name Invalid: It should have at least 3 characters starting with Capital letter.]] ]
2022-2022-06 11:25 [WARN][http-nio-8080-exec-5][o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver:208] Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public org.springframework.http.ResponseEntity<com.example.addressbookspring.dto.ResponseDTO> com.example.addressbookspring.controller.AddressBookController.editAddress(com.example.addressbookspring.dto.AddressBookDTO,int): [Field error in object 'addressBookDTO' on field 'fullName': rejected value [senthil kumar]; codes [Pattern.addressBookDTO.fullName,Pattern.fullName,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [addressBookDTO.fullName,fullName]; arguments []; default message [fullName],[Ljavax.validation.constraints.Pattern$Flag;@7e591a7a,^[A-Z][a-zA-Z\s]{2,}$]; default message [Contact name Invalid: It should have at least 3 characters starting with Capital letter.]] ]
2022-2022-06 11:25 [WARN][http-nio-8080-exec-6][o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver:208] Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public org.springframework.http.ResponseEntity<com.example.addressbookspring.dto.ResponseDTO> com.example.addressbookspring.controller.AddressBookController.editAddress(com.example.addressbookspring.dto.AddressBookDTO,int): [Field error in object 'addressBookDTO' on field 'fullName': rejected value [senthil kumar]; codes [Pattern.addressBookDTO.fullName,Pattern.fullName,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [addressBookDTO.fullName,fullName]; arguments []; default message [fullName],[Ljavax.validation.constraints.Pattern$Flag;@7e591a7a,^[A-Z][a-zA-Z\s]{2,}$]; default message [Contact name Invalid: It should have at least 3 characters starting with Capital letter.]] ]
2022-2022-06 11:25 [WARN][http-nio-8080-exec-7][o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver:208] Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public org.springframework.http.ResponseEntity<com.example.addressbookspring.dto.ResponseDTO> com.example.addressbookspring.controller.AddressBookController.editAddress(com.example.addressbookspring.dto.AddressBookDTO,int): [Field error in object 'addressBookDTO' on field 'fullName': rejected value [senthil kumar]; codes [Pattern.addressBookDTO.fullName,Pattern.fullName,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [addressBookDTO.fullName,fullName]; arguments []; default message [fullName],[Ljavax.validation.constraints.Pattern$Flag;@7e591a7a,^[A-Z][a-zA-Z\s]{2,}$]; default message [Contact name Invalid: It should have at least 3 characters starting with Capital letter.]] ]
2022-2022-06 11:25 [WARN][http-nio-8080-exec-8][o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver:208] Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public org.springframework.http.ResponseEntity<com.example.addressbookspring.dto.ResponseDTO> com.example.addressbookspring.controller.AddressBookController.editAddress(com.example.addressbookspring.dto.AddressBookDTO,int): [Field error in object 'addressBookDTO' on field 'fullName': rejected value [praveen]; codes [Pattern.addressBookDTO.fullName,Pattern.fullName,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [addressBookDTO.fullName,fullName]; arguments []; default message [fullName],[Ljavax.validation.constraints.Pattern$Flag;@7e591a7a,^[A-Z][a-zA-Z\s]{2,}$]; default message [Contact name Invalid: It should have at least 3 characters starting with Capital letter.]] ]
2022-2022-06 11:25 [WARN][http-nio-8080-exec-9][o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver:208] Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public org.springframework.http.ResponseEntity<com.example.addressbookspring.dto.ResponseDTO> com.example.addressbookspring.controller.AddressBookController.editAddress(com.example.addressbookspring.dto.AddressBookDTO,int): [Field error in object 'addressBookDTO' on field 'fullName': rejected value [praveen]; codes [Pattern.addressBookDTO.fullName,Pattern.fullName,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [addressBookDTO.fullName,fullName]; arguments []; default message [fullName],[Ljavax.validation.constraints.Pattern$Flag;@7e591a7a,^[A-Z][a-zA-Z\s]{2,}$]; default message [Contact name Invalid: It should have at least 3 characters starting with Capital letter.]] ]
2022-2022-06 11:25 [WARN][http-nio-8080-exec-10][o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver:208] Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public org.springframework.http.ResponseEntity<com.example.addressbookspring.dto.ResponseDTO> com.example.addressbookspring.controller.AddressBookController.editAddress(com.example.addressbookspring.dto.AddressBookDTO,int): [Field error in object 'addressBookDTO' on field 'fullName': rejected value [praveen]; codes [Pattern.addressBookDTO.fullName,Pattern.fullName,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [addressBookDTO.fullName,fullName]; arguments []; default message [fullName],[Ljavax.validation.constraints.Pattern$Flag;@7e591a7a,^[A-Z][a-zA-Z\s]{2,}$]; default message [Contact name Invalid: It should have at least 3 characters starting with Capital letter.]] ]
2022-2022-06 11:25 [WARN][http-nio-8080-exec-2][o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver:208] Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public org.springframework.http.ResponseEntity<com.example.addressbookspring.dto.ResponseDTO> com.example.addressbookspring.controller.AddressBookController.editAddress(com.example.addressbookspring.dto.AddressBookDTO,int): [Field error in object 'addressBookDTO' on field 'fullName': rejected value [praveen]; codes [Pattern.addressBookDTO.fullName,Pattern.fullName,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [addressBookDTO.fullName,fullName]; arguments []; default message [fullName],[Ljavax.validation.constraints.Pattern$Flag;@7e591a7a,^[A-Z][a-zA-Z\s]{2,}$]; default message [Contact name Invalid: It should have at least 3 characters starting with Capital letter.]] ]
2022-2022-06 11:25 [WARN][http-nio-8080-exec-6][o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver:208] Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public org.springframework.http.ResponseEntity<com.example.addressbookspring.dto.ResponseDTO> com.example.addressbookspring.controller.AddressBookController.editAddress(com.example.addressbookspring.dto.AddressBookDTO,int): [Field error in object 'addressBookDTO' on field 'fullName': rejected value [praveen]; codes [Pattern.addressBookDTO.fullName,Pattern.fullName,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [addressBookDTO.fullName,fullName]; arguments []; default message [fullName],[Ljavax.validation.constraints.Pattern$Flag;@7e591a7a,^[A-Z][a-zA-Z\s]{2,}$]; default message [Contact name Invalid: It should have at least 3 characters starting with Capital letter.]] ]
2022-2022-06 11:25 [WARN][http-nio-8080-exec-7][o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver:208] Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public org.springframework.http.ResponseEntity<com.example.addressbookspring.dto.ResponseDTO> com.example.addressbookspring.controller.AddressBookController.editAddress(com.example.addressbookspring.dto.AddressBookDTO,int): [Field error in object 'addressBookDTO' on field 'fullName': rejected value [praveen]; codes [Pattern.addressBookDTO.fullName,Pattern.fullName,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [addressBookDTO.fullName,fullName]; arguments []; default message [fullName],[Ljavax.validation.constraints.Pattern$Flag;@7e591a7a,^[A-Z][a-zA-Z\s]{2,}$]; default message [Contact name Invalid: It should have at least 3 characters starting with Capital letter.]] ]
